name,display_name,scientific_name,category,lookalike_group,toxicity_level,requires_cooking,edible_raw,hunger,morale,energy,description,region,identified,plant_guide_feature,desc_vague,desc_low,desc_med,desc_high,min_perception_to_identify
chickweed,Chickweed,Stellaria media,green,,0,False,True,2,2,1,Delicate leaves with star-shaped flowers,Temperate Rainforest Valley,False,True,Some kind of plant or fungus?,Unusual specimen: Delicate leaves with star-shaped flowers?,Looks like: Delicate leaves with star-shaped flowers,Delicate leaves with star-shaped flowers,2
cursed_buttercup,Cursed Buttercup,Ranunculus spp.,green,,2,True,False,-5,0,0,"Glossy leaves, yellow flowers, mildly toxic",Temperate Rainforest Valley,False,True,Some kind of plant or fungus?,"Unusual specimen: Glossy leaves, yellow flowers, mildly toxic?","Looks like: Glossy leaves, yellow flowers, mildly toxic","Glossy leaves, yellow flowers, mildly toxic",2
king_bolete,King Bolete,Boletus edulis,mushroom,,0,False,True,6,3,3,"Thick stem, sponge-like pores, prized edible",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Thick stem, sponge-like pores, prized edible?","Looks like: Thick stem, sponge-like pores, prized edible","Thick stem, sponge-like pores, prized edible",2
red_cracked_bolete,Red Cracked Bolete,Xerocomellus chrysenteron,mushroom,boletus_group,1,False,True,2,0,1,"Bitter taste, cracking cap",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Bitter taste, cracking cap?","Looks like: Bitter taste, cracking cap","Bitter taste, cracking cap",2
woolly_milkcap,Woolly Milkcap,Lactarius pubescens,mushroom,,1,True,False,3,1,1,"Hairy cap, must cook well",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Hairy cap, must cook well?","Looks like: Hairy cap, must cook well","Hairy cap, must cook well",2
mountain_strawberry,Mountain Strawberry,Fragaria virginiana,fruit,,0,False,True,3,2,1,Small red berries with strong flavor,Subalpine Forest,False,True,Some kind of plant or fungus?,Unusual specimen: Small red berries with strong flavor?,Looks like: Small red berries with strong flavor,Small red berries with strong flavor,2
highbush_cranberry,Highbush Cranberry,Viburnum edule,fruit,,0,False,True,2,1,1,"Clusters of red berries, tart and juicy",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Clusters of red berries, tart and juicy?","Looks like: Clusters of red berries, tart and juicy","Clusters of red berries, tart and juicy",2
baneberry,Baneberry,Actaea rubra,fruit,bane_group,3,False,False,-20,-15,-15,"Glossy red or white berries, highly poisonous",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Glossy red or white berries, highly poisonous?","Looks like: Glossy red or white berries, highly poisonous","Glossy red or white berries, highly poisonous",2
fireweed_shoots,Fireweed Shoots,Chamaenerion angustifolium,green,,0,False,True,2,2,2,Tender tips edible early season,Subalpine Forest,False,True,Some kind of plant or fungus?,Unusual specimen: Tender tips edible early season?,Looks like: Tender tips edible early season,Tender tips edible early season,2
lambs_quarters,Lamb�s Quarters,Chenopodium album,green,,0,False,True,3,1,1,Spinach-like wild green,Subalpine Forest,False,True,Some kind of plant or fungus?,Unusual specimen: Spinach-like wild green?,Looks like: Spinach-like wild green,Spinach-like wild green,2
false_hellebore,False Hellebore,Veratrum viride,green,,3,False,False,-25,-20,-20,"Large broad leaves, extremely toxic",Subalpine Forest,False,True,Some kind of plant or fungus?,"Unusual specimen: Large broad leaves, extremely toxic?","Looks like: Large broad leaves, extremely toxic","Large broad leaves, extremely toxic",2
snowbank_mushroom,Snowbank Mushroom,Hygrophorus marzuolus,mushroom,,0,False,True,5,2,2,"Grows near melting snow, smooth cap",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Grows near melting snow, smooth cap?","Looks like: Grows near melting snow, smooth cap","Grows near melting snow, smooth cap",2
alpine_laccaria,Alpine Laccaria,Laccaria montana,mushroom,,0,False,True,4,2,1,"Purple-tinged gills, edible",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Purple-tinged gills, edible?","Looks like: Purple-tinged gills, edible","Purple-tinged gills, edible",2
frostcap,Frostcap,Mycena pura,mushroom,laccaria_group,1,False,False,-3,0,0,"Delicate pastel cap, mildly toxic",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Delicate pastel cap, mildly toxic?","Looks like: Delicate pastel cap, mildly toxic","Delicate pastel cap, mildly toxic",2
dwarf_bilberry,Dwarf Bilberry,Vaccinium caespitosum,fruit,,0,False,True,3,2,1,"Low-growing, sweet small berries",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Low-growing, sweet small berries?","Looks like: Low-growing, sweet small berries","Low-growing, sweet small berries",2
white_alpine_berry,White Alpine Berry,Rubus arcticus,fruit,,0,False,True,3,3,1,"Delicate pale berries, rare and sweet",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Delicate pale berries, rare and sweet?","Looks like: Delicate pale berries, rare and sweet","Delicate pale berries, rare and sweet",2
snowberry,Snowberry,Symphoricarpos albus,fruit,snow_group,3,False,False,-15,-10,-10,"White waxy berries, toxic if eaten",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: White waxy berries, toxic if eaten?","Looks like: White waxy berries, toxic if eaten","White waxy berries, toxic if eaten",2
mountain_sorrel,Mountain Sorrel,Oxyria digyna,green,,0,False,True,2,2,1,Tangy red-stemmed leaves,Alpine Mountain Peak,False.True,,Some kind of plant or fungus?,Unusual specimen: Tangy red-stemmed leaves?,Looks like: Tangy red-stemmed leaves,Tangy red-stemmed leaves,2
alpine_chickweed,Alpine Chickweed,Cerastium arvense,green,,0,False,True,2,1,1,"White flowers, fuzzy leaves, edible",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: White flowers, fuzzy leaves, edible?","Looks like: White flowers, fuzzy leaves, edible","White flowers, fuzzy leaves, edible",2
arnica_leaves,Arnica Leaves,Arnica montana,green,,2,False,False,-5,0,0,"Bright yellow flowers, leaves toxic raw",Alpine Mountain Peak,False,True,Some kind of plant or fungus?,"Unusual specimen: Bright yellow flowers, leaves toxic raw?","Looks like: Bright yellow flowers, leaves toxic raw","Bright yellow flowers, leaves toxic raw",2
